"weekly","segment","name","exchange","expiry","instrument_type","asset_symbol","underlying_symbol","instrument_key","lot_size","freeze_quantity","exchange_token","minimum_lot","asset_key","underlying_key","tick_size","asset_type","underlying_type","trading_symbol","strike_price","qty_multiplier"
false,"NSE_FO","NIFTY","NSE",1764095399000,"PE","NIFTY","NIFTY","NSE_FO|53245",75,1800.0,"53245",75,"NSE_INDEX|Nifty 50","NSE_INDEX|Nifty 50",5.0,"INDEX","INDEX","NIFTY 27000 PE 25 NOV 25",27000.0,1.0
false,"NSE_FO","NIFTY","NSE",1764095399000,"CE","NIFTY","NIFTY","NSE_FO|53244",75,1800.0,"53244",75,"NSE_INDEX|Nifty 50","NSE_INDEX|Nifty 50",5.0,"INDEX","INDEX","NIFTY 27000 CE 25 NOV 25",27000.0,1.0
false,"NSE_FO","NIFTY","NSE",1764095399000,"PE","NIFTY","NIFTY","NSE_FO|53247",75,1800.0,"53247",75,"NSE_INDEX|Nifty 50","NSE_INDEX|Nifty 50",5.0,"INDEX","INDEX","NIFTY 27050 PE 25 NOV 25",27050.0,1.0
false,"NSE_FO","NIFTY","NSE",1764095399000,"CE","NIFTY","NIFTY","NSE_FO|53246",75,1800.0,"53246",75,"NSE_INDEX|Nifty 50","NSE_INDEX|Nifty 50",5.0,"INDEX","INDEX","NIFTY 27050 CE 25 NOV 25",27050.0,1.0
false,"NSE_FO","NIFTY","NSE",1764095399000,"PE","NIFTY","NIFTY","NSE_FO|53249",75,1800.0,"53249",75,"NSE_INDEX|Nifty 50","NSE_INDEX|Nifty 50",5.0,"INDEX","INDEX","NIFTY 27100 PE 25 NOV 25",27100.0,1.0
false,"NSE_FO","NIFTY","NSE",1764095399000,"CE","NIFTY","NIFTY","NSE_FO|53248",75,1800.0,"53248",75,"NSE_INDEX|Nifty 50","NSE_INDEX|Nifty 50",5.0,"INDEX","INDEX","NIFTY 27100 CE 25 NOV 25",27100.0,1.0
false,"NSE_FO","NIFTY","NSE",1764095399000,"PE","NIFTY","NIFTY","NSE_FO|53241",75,1800.0,"53241",75,"NSE_INDEX|Nifty 50","NSE_INDEX|Nifty 50",5.0,"INDEX","INDEX","NIFTY 26950 PE 25 NOV 25",26950.0,1.0
false,"NSE_FO","NIFTY","NSE",1764095399000,"CE","NIFTY","NIFTY","NSE_FO|53240",75,1800.0,"53240",75,"NSE_INDEX|Nifty 50","NSE_INDEX|Nifty 50",5.0,"INDEX","INDEX","NIFTY 26950 CE 25 NOV 25",26950.0,1.0
false,"NSE_FO","NIFTY","NSE",1764095399000,"PE","NIFTY","NIFTY","NSE_FO|53236",75,1800.0,"53236",75,"NSE_INDEX|Nifty 50","NSE_INDEX|Nifty 50",5.0,"INDEX","INDEX","NIFTY 26900 PE 25 NOV 25",26900.0,1.0
false,"NSE_FO","NIFTY","NSE",1764095399000,"CE","NIFTY","NIFTY","NSE_FO|53235",75,1800.0,"53235",75,"NSE_INDEX|Nifty 50","NSE_INDEX|Nifty 50",5.0,"INDEX","INDEX","NIFTY 26900 CE 25 NOV 25",26900.0,1.0
false,"NSE_FO","NIFTY","NSE",1767119399000,"PE","NIFTY","NIFTY","NSE_FO|49180",75,1800.0,"49180",75,"NSE_INDEX|Nifty 50","NSE_INDEX|Nifty 50",5.0,"INDEX","INDEX","NIFTY 16500 PE 30 DEC 25",16500.0,1.0
false,"NSE_FO","NIFTY","NSE",1767119399000,"PE","NIFTY","NIFTY","NSE_FO|49174",75,1800.0,"49174",75,"NSE_INDEX|Nifty 50","NSE_INDEX|Nifty 50",5.0,"INDEX","INDEX","NIFTY 15000 PE 30 DEC 25",15000.0,1.0
false,"NSE_FO","NIFTY","NSE",1767119399000,"PE","NIFTY","NIFTY","NSE_FO|49178",75,1800.0,"49178",75,"NSE_INDEX|Nifty 50","NSE_INDEX|Nifty 50",5.0,"INDEX","INDEX","NIFTY 16000 PE 30 DEC 25",16000.0,1.0
false,"NSE_FO","NIFTY","NSE",1767119399000,"CE","NIFTY","NIFTY","NSE_FO|49177",75,1800.0,"49177",75,"NSE_INDEX|Nifty 50","NSE_INDEX|Nifty 50",5.0,"INDEX","INDEX","NIFTY 16000 CE 30 DEC 25",16000.0,1.0
false,"NSE_FO","NIFTY","NSE",1767119399000,"FUT","NIFTY","NIFTY","NSE_FO|49543",75,1800.0,"49543",75,"NSE_INDEX|Nifty 50","NSE_INDEX|Nifty 50",10.0,"INDEX","INDEX","NIFTY FUT 30 DEC 25",0.0,1.0
false,"NSE_FO","NIFTY","NSE",1830018599000,"CE","NIFTY","NIFTY","NSE_FO|35346",75,1800.0,"35346",75,"NSE_INDEX|Nifty 50","NSE_INDEX|Nifty 50",5.0,"INDEX","INDEX","NIFTY 30000 CE 28 DEC 27",30000.0,1.0
false,"NSE_FO","NIFTY","NSE",1845743399000,"CE","NIFTY","NIFTY","NSE_FO|35352",75,1800.0,"35352",75,"NSE_INDEX|Nifty 50","NSE_INDEX|Nifty 50",5.0,"INDEX","INDEX","NIFTY 30000 CE 27 JUN 28",30000.0,1.0
false,"NSE_FO","NIFTY","NSE",1845743399000,"PE","NIFTY","NIFTY","NSE_FO|35353",75,1800.0,"35353",75,"NSE_INDEX|Nifty 50","NSE_INDEX|Nifty 50",5.0,"INDEX","INDEX","NIFTY 30000 PE 27 JUN 28",30000.0,1.0
false,"NSE_FO","NIFTY","NSE",1830018599000,"PE","NIFTY","NIFTY","NSE_FO|35347",75,1800.0,"35347",75,"NSE_INDEX|Nifty 50","NSE_INDEX|Nifty 50",5.0,"INDEX","INDEX","NIFTY 30000 PE 28 DEC 27",30000.0,1.0
false,"NSE_FO","NIFTY","NSE",1767119399000,"PE","NIFTY","NIFTY","NSE_FO|35222",75,1800.0,"35222",75,"NSE_INDEX|Nifty 50","NSE_INDEX|Nifty 50",5.0,"INDEX","INDEX","NIFTY 30000 PE 30 DEC 25",30000.0,1.0
false,"NSE_FO","NIFTY","NSE",1767119399000,"CE","NIFTY","NIFTY","NSE_FO|35221",75,1800.0,"35221",75,"NSE_INDEX|Nifty 50","NSE_INDEX|Nifty 50",5.0,"INDEX","INDEX","NIFTY 30000 CE 30 DEC 25",30000.0,1.0
false,"NSE_FO","NIFTY","NSE",1798568999000,"CE","NIFTY","NIFTY","NSE_FO|35235",75,1800.0,"35235",75,"NSE_INDEX|Nifty 50","NSE_INDEX|Nifty 50",5.0,"INDEX","INDEX","NIFTY 30000 CE 29 DEC 26",30000.0,1.0
false,"NSE_FO","NIFTY","NSE",1782844199000,"PE","NIFTY","NIFTY","NSE_FO|35231",75,1800.0,"35231",75,"NSE_INDEX|Nifty 50","NSE_INDEX|Nifty 50",5.0,"INDEX","INDEX","NIFTY 30000 PE 30 JUN 26",30000.0,1.0
false,"NSE_FO","NIFTY","NSE",1782844199000,"CE","NIFTY","NIFTY","NSE_FO|35229",75,1800.0,"35229",75,"NSE_INDEX|Nifty 50","NSE_INDEX|Nifty 50",5.0,"INDEX","INDEX","NIFTY 30000 CE 30 JUN 26",30000.0,1.0
false,"NSE_FO","NIFTY","NSE",1798568999000,"PE","NIFTY","NIFTY","NSE_FO|35237",75,1800.0,"35237",75,"NSE_INDEX|Nifty 50","NSE_INDEX|Nifty 50",5.0,"INDEX","INDEX","NIFTY 30000 PE 29 DEC 26",30000.0,1.0
false,"NSE_FO","NIFTY","NSE",1814293799000,"CE","NIFTY","NIFTY","NSE_FO|35262",75,1800.0,"35262",75,"NSE_INDEX|Nifty 50","NSE_INDEX|Nifty 50",5.0,"INDEX","INDEX","NIFTY 30000 CE 29 JUN 27",30000.0,1.0
false,"NSE_FO","NIFTY","NSE",1814293799000,"PE","NIFTY","NIFTY","NSE_FO|35263",75,1800.0,"35263",75,"NSE_INDEX|Nifty 50","NSE_INDEX|Nifty 50",5.0,"INDEX","INDEX","NIFTY 30000 PE 29 JUN 27",30000.0,1.0
false,"NSE_FO","NIFTY","NSE",1908642599000,"PE","NIFTY","NIFTY","NSE_FO|60939",75,1800.0,"60939",75,"NSE_INDEX|Nifty 50","NSE_INDEX|Nifty 50",5.0,"INDEX","INDEX","NIFTY 30000 PE 25 JUN 30",30000.0,1.0
false,"NSE_FO","NIFTY","NSE",1908642599000,"CE","NIFTY","NIFTY","NSE_FO|60936",75,1800.0,"60936",75,"NSE_INDEX|Nifty 50","NSE_INDEX|Nifty 50",5.0,"INDEX","INDEX","NIFTY 30000 CE 25 JUN 30",30000.0,1.0
false,"NSE_FO","NIFTY","NSE",1908642599000,"CE","NIFTY","NIFTY","NSE_FO|60925",75,1800.0,"60925",75,"NSE_INDEX|Nifty 50","NSE_INDEX|Nifty 50",5.0,"INDEX","INDEX","NIFTY 29000 CE 25 JUN 30",29000.0,1.0
false,"NSE_FO","NIFTY","NSE",1908642599000,"PE","NIFTY","NIFTY","NSE_FO|60926",75,1800.0,"60926",75,"NSE_INDEX|Nifty 50","NSE_INDEX|Nifty 50",5.0,"INDEX","INDEX","NIFTY 29000 PE 25 JUN 30",29000.0,1.0
false,"NSE_FO","NIFTY","NSE",1908642599000,"PE","NIFTY","NIFTY","NSE_FO|60924",75,1800.0,"60924",75,"NSE_INDEX|Nifty 50","NSE_INDEX|Nifty 50",5.0,"INDEX","INDEX","NIFTY 28000 PE 25 JUN 30",28000.0,1.0
false,"NSE_FO","NIFTY","NSE",1908642599000,"PE","NIFTY","NIFTY","NSE_FO|60941",75,1800.0,"60941",75,"NSE_INDEX|Nifty 50","NSE_INDEX|Nifty 50",5.0,"INDEX","INDEX","NIFTY 31000 PE 25 JUN 30",31000.0,1.0
false,"NSE_FO","NIFTY","NSE",1908642599000,"CE","NIFTY","NIFTY","NSE_FO|60940",75,1800.0,"60940",75,"NSE_INDEX|Nifty 50","NSE_INDEX|Nifty 50",5.0,"INDEX","INDEX","NIFTY 31000 CE 25 JUN 30",31000.0,1.0
false,"NSE_FO","NIFTY","NSE",1908642599000,"CE","NIFTY","NIFTY","NSE_FO|60912",75,1800.0,"60912",75,"NSE_INDEX|Nifty 50","NSE_INDEX|Nifty 50",5.0,"INDEX","INDEX","NIFTY 28000 CE 25 JUN 30",28000.0,1.0
false,"NSE_FO","NIFTY","NSE",1908642599000,"CE","NIFTY","NIFTY","NSE_FO|60910",75,1800.0,"60910",75,"NSE_INDEX|Nifty 50","NSE_INDEX|Nifty 50",5.0,"INDEX","INDEX","NIFTY 27000 CE 25 JUN 30",27000.0,1.0
